x_value,total_1,total_2
205,1271,1096
206,1274,1096
207,1282,1102
208,1284,1097
209,1286,1103
210,1283,1102
211,1285,1105
212,1281,1110
213,1283,1116
214,1285,1116
215,1282,1115
216,1288,1120
217,1295,1117
218,1298,1123
219,1302,1125
220,1303,1124
221,1305,1130
222,1309,1136
223,1310,1138
224,1313,1143
225,1307,1149
226,1312,1150
227,1308,1147
228,1312,1150
229,1306,1154
230,1302,1157
231,1310,1154
232,1309,1153
233,1311,1151
234,1311,1153
235,1317,1153
236,1320,1152
237,1319,1153
238,1322,1159
239,1325,1164
240,1331,1160
241,1334,1162
242,1341,1162
243,1347,1167
244,1353,1171
245,1350,1167
246,1348,1171
247,1352,1173
248,1348,1175
249,1352,1172
250,1359,1172
251,1353,1178
252,1357,1184
253,1360,1187
254,1364,1191
255,1363,1194
256,1367,1189
257,1373,1193
258,1370,1192
259,1372,1198
260,1368,1201
261,1365,1200
262,1373,1197
263,1381,1202
264,1378,1197
265,1379,1195
266,1384,1197
267,1380,1200
268,1375,1201
269,1373,1197
270,1373,1198
271,1380,1193
272,1374,1195
273,1382,1192
274,1381,1198
275,1380,1196
276,1383,1195
277,1388,1192
278,1390,1194
279,1392,1192
280,1389,1196
281,1390,1191
282,1398,1192
283,1393,1194
284,1394,1191
285,1394,1189
286,1390,1185
287,1397,1184
288,1405,1188
289,1410,1187
290,1409,1187
291,1407,1188
292,1410,1185
293,1406,1188
294,1411,1188
295,1409,1190
296,1403,1191
297,1398,1187
298,1401,1192
299,1401,1191
300,1406,1194
301,1405,1191
302,1404,1189
303,1402,1185
304,1408,1183
305,1416,1183
306,1416,1187
307,1411,1186
308,1411,1183
309,1408,1182
310,1404,1185
311,1402,1181
312,1399,1180
313,1401,1176
314,1409,1179
315,1411,1177
316,1412,1181
317,1407,1178
318,1406,1184
319,1413,1179
320,1412,1179
321,1418,1177
322,1415,1183
323,1409,1182
324,1416,1179
325,1410,1180
326,1409,1186
327,1415,1185
328,1419,1184
329,1423,1182
330,1425,1188
331,1427,1187
332,1422,1189
333,1419,1186
334,1425,1192
335,1431,1196
336,1437,1199
337,1444,1200
338,1450,1200
339,1450,1199
340,1444,1204
341,1442,1210
342,1436,1205
343,1437,1211
344,1437,1215
345,1441,1211
346,1439,1209
347,1447,1205
348,1450,1204
349,1447,1200
350,1441,1197
351,1442,1200
352,1446,1201
353,1449,1198
354,1445,1201
355,1446,1199
356,1441,1199
357,1436,1196
358,1444,1198
359,1443,1196
360,1445,1199
361,1447,1204
362,1453,1202
363,1455,1208
364,1452,1214
365,1457,1220
366,1451,1222
367,1453,1218
368,1452,1219
369,1451,1217
370,1454,1212
371,1454,1210
372,1453,1213
373,1450,1213
374,1447,1219
375,1443,1218
376,1451,1223
377,1449,1221
378,1456,1225
379,1454,1229
380,1450,1228
381,1454,1223
382,1454,1221
383,1452,1222
384,1452,1219
385,1449,1222
386,1451,1219
387,1454,1222
388,1454,1219
389,1459,1224
390,1465,1225
391,1462,1227
392,1462,1232
393,1470,1236
394,1464,1239
395,1459,1243
396,1456,1247
397,1460,1253
398,1454,1256
399,1450,1261
400,1449,1263
401,1455,1263
402,1452,1263
403,1452,1261
404,1450,1259
405,1458,1262
406,1466,1258
407,1461,1260
408,1461,1259
409,1460,1260
410,1464,1259
411,1469,1264
412,1473,1267
413,1481,1265
414,1478,1266
415,1478,1269
416,1477,1269
417,1484,1275
418,1490,1272
419,1488,1278
420,1484,1284
421,1481,1284
422,1482,1279
423,1485,1285
424,1482,1287
425,1476,1288
426,1474,1287
427,1471,1282
428,1465,1282
429,1467,1281
430,1468,1284
431,1475,1285
432,1476,1281
433,1479,1279
434,1478,1276
435,1475,1275
436,1476,1273
437,1474,1268
438,1476,1263
439,1471,1264
440,1476,1268
441,1477,1265
442,1473,1261
443,1480,1260
444,1482,1264
445,1488,1269
446,1491,1275
447,1491,1280
448,1485,1283
449,1481,1278
450,1477,1277
451,1477,1274
452,1485,1269
453,1487,1271
454,1483,1267
455,1490,1266
456,1485,1262
457,1480,1257
458,1475,1258
459,1475,1257
460,1476,1259
461,1475,1260
462,1471,1256
463,1471,1255
464,1467,1258
465,1462,1257
466,1465,1255
467,1468,1252
468,1466,1248
469,1463,1245
470,1461,1243
471,1466,1239
472,1465,1240
473,1470,1239
474,1469,1240
475,1470,1242
476,1478,1248
477,1475,1248
478,1472,1247
479,1470,1242
480,1469,1245
481,1466,1248
482,1466,1243
483,1465,1238
484,1468,1234
485,1463,1233
486,1470,1238
487,1476,1235
488,1474,1236
489,1468,1237
490,1468,1241
491,1476,1245
492,1475,1242
493,1470,1248
494,1477,1250
495,1472,1254
496,1474,1249
497,1472,1251
498,1470,1254
499,1468,1252
500,1470,1248
501,1468,1246
502,1465,1250
503,1460,1246
504,1461,1242
505,1459,1243
506,1466,1242
507,1473,1237
508,1469,1235
509,1464,1238
510,1471,1242
511,1467,1243
512,1475,1239
513,1472,1242
514,1473,1244
515,1481,1245
516,1488,1249
517,1485,1249
518,1482,1248
519,1489,1250
520,1497,1251
521,1495,1254
522,1489,1250
523,1494,1249
524,1495,1254
525,1497,1257
526,1493,1259
527,1489,1255
528,1492,1259
529,1493,1254
530,1499,1250
531,1504,1248
532,1510,1250
533,1514,1252
534,1519,1256
535,1527,1251
536,1525,1256
537,1519,1253
538,1526,1248
539,1522,1244
540,1525,1241
541,1527,1236
542,1527,1234
543,1532,1237
544,1537,1234
